"Disp (mm) " "Load (kN)" "d (raw)" "f (raw)"
3.7833 10.4029 5.5979 10.9102
3.7999 10.4691 5.6145 10.9764
3.8166 10.5350 5.6312 11.0423
3.8333 10.6039 5.6479 11.1112
3.8500 10.6712 5.6646 11.1786
3.8667 10.7377 5.6813 11.2450
3.8834 10.8051 5.6980 11.3124
3.9000 10.8712 5.7146 11.3785
3.9166 10.9393 5.7312 11.4466
3.9332 11.0064 5.7478 11.5138
3.9500 11.0756 5.7646 11.5829
3.9666 11.1474 5.7812 11.6547
3.9834 11.2287 5.7980 11.7360
4.0000 11.3119 5.8146 11.8192
4.0167 11.4000 5.8313 11.9074
4.0333 11.4886 5.8479 11.9960
4.0500 11.5784 5.8646 12.0857
4.0666 11.6688 5.8812 12.1761
4.0833 11.7590 5.8979 12.2663
4.1000 11.8506 5.9146 12.3579
4.1167 11.9469 5.9313 12.4542
4.1333 12.0423 5.9479 12.5496
4.1500 12.1408 5.9646 12.6482
4.1667 12.2424 5.9813 12.7497
4.1833 12.3420 5.9979 12.8493
4.1999 12.4436 6.0145 12.9510
4.2166 12.5459 6.0312 13.0532
4.2333 12.6476 6.0479 13.1549
4.2500 12.7546 6.0646 13.2619
4.2666 12.8589 6.0812 13.3662
4.2834 12.9653 6.0980 13.4726
4.3000 13.0764 6.1146 13.5838
4.3167 13.1882 6.1313 13.6955
4.3333 13.2994 6.1479 13.8067
4.3500 13.4120 6.1646 13.9193
4.3666 13.5223 6.1812 14.0296
4.3833 13.6396 6.1979 14.1469
4.4000 13.7621 6.2146 14.2694
4.4166 13.8881 6.2312 14.3954
4.4333 14.0173 6.2479 14.5246
4.4500 14.1466 6.2646 14.6539
4.4666 14.2778 6.2812 14.7851
4.4833 14.4133 6.2979 14.9206
4.5000 14.5478 6.3146 15.0551
4.5166 14.6883 6.3312 15.1956
4.5334 14.8263 6.3480 15.3337
4.5500 14.9654 6.3646 15.4727
4.5666 15.1084 6.3812 15.6157
4.5834 15.2493 6.3980 15.7566
4.5999 15.3918 6.4145 15.8991
4.6166 15.5391 6.4312 16.0464
4.6333 15.6898 6.4479 16.1971
4.6500 15.8513 6.4646 16.3586
