"Disp (mm)" "Load (kN)" "d (raw)" "f (raw)"
1.5667 2.4779 1.5667 2.7266
1.5833 2.5136 1.5834 2.7623
1.6000 2.5487 1.6000 2.7974
1.6166 2.5847 1.6166 2.8334
1.6333 2.6204 1.6333 2.8691
1.6499 2.6539 1.6500 2.9026
1.6667 2.6890 1.6667 2.9377
1.6833 2.7223 1.6834 2.9710
1.7000 2.7562 1.7000 3.0049
1.7166 2.7916 1.7167 3.0403
1.7334 2.8266 1.7334 3.0753
1.7500 2.8624 1.7500 3.1111
1.7666 2.8969 1.7667 3.1456
1.7833 2.9324 1.7833 3.1811
1.8000 2.9674 1.8001 3.2161
1.8167 3.0017 1.8167 3.2504
1.8333 3.0366 1.8334 3.2853
1.8500 3.0702 1.8500 3.3189
1.8666 3.1038 1.8667 3.3525
1.8833 3.1386 1.8833 3.3873
1.9000 3.1736 1.9000 3.4223
1.9166 3.2090 1.9166 3.4577
1.9334 3.2444 1.9334 3.4932
1.9500 3.2808 1.9500 3.5295
1.9667 3.3192 1.9667 3.5679
1.9834 3.3568 1.9834 3.6056
2.0000 3.3943 2.0000 3.6431
2.0166 3.4319 2.0166 3.6807
2.0333 3.4692 2.0334 3.7179
2.0500 3.5077 2.0500 3.7564
2.0667 3.5461 2.0667 3.7948
2.0834 3.5852 2.0834 3.8339
2.1000 3.6249 2.1000 3.8736
2.1166 3.6635 2.1166 3.9122
2.1333 3.7028 2.1333 3.9515
2.1500 3.7408 2.1500 3.9895
2.1666 3.7788 2.1667 4.0276
2.1833 3.8168 2.1833 4.0656
2.2000 3.8575 2.2000 4.1062
2.2167 3.8988 2.2167 4.1475
2.2333 3.9410 2.2333 4.1897
2.2500 3.9842 2.2500 4.2329
2.2667 4.0265 2.2667 4.2753
2.2833 4.0692 2.2833 4.3179
2.3000 4.1118 2.3000 4.3605
2.3166 4.1533 2.3166 4.4021
2.3333 4.1969 2.3334 4.4456
2.3500 4.2383 2.3500 4.4871
2.3666 4.2805 2.3667 4.5292
2.3834 4.3227 2.3834 4.5714
2.4000 4.3647 2.4000 4.6134
2.4166 4.4070 2.4167 4.6557
2.4333 4.4497 2.4333 4.6984
2.4500 4.4913 2.4500 4.7401
2.4667 4.5340 2.4667 4.7827
2.4834 4.5749 2.4834 4.8237
2.5000 4.6148 2.5000 4.8636
2.5166 4.6555 2.5167 4.9043
2.5333 4.6950 2.5334 4.9437
2.5500 4.7372 2.5500 4.9859
2.5559 4.7513 2.5559 5.0000
2.5559 4.7514 2.5560 5.0001
2.5402 4.7113 2.5402 4.9600
2.5228 4.6277 2.5228 4.8765
2.5060 4.5349 2.5060 4.7837
2.4893 4.4484 2.4894 4.6971
2.4726 4.3657 2.4727 4.6145
2.4559 4.2863 2.4560 4.5350
2.4393 4.2096 2.4393 4.4583
2.4226 4.1341 2.4226 4.3828
2.4060 4.0611 2.4060 4.3099
2.3893 3.9906 2.3893 4.2393
2.3726 3.9202 2.3727 4.1689
2.3560 3.8523 2.3560 4.1011
2.3393 3.7871 2.3394 4.0358
2.3226 3.7190 2.3226 3.9677
2.3060 3.6543 2.3060 3.9030
2.2893 3.5914 2.2894 3.8402
2.2726 3.5306 2.2727 3.7794
2.2560 3.4721 2.2560 3.7208
2.2393 3.4146 2.2394 3.6633
2.2226 3.3584 2.2226 3.6072
2.2060 3.3036 2.2060 3.5523
2.1892 3.2482 2.1893 3.4969
2.1726 3.1956 2.1727 3.4444
2.1560 3.1429 2.1560 3.3916
2.1393 3.0922 2.1394 3.3410
2.1226 3.0414 2.1227 3.2902
2.1060 2.9923 2.1060 3.2410
2.0893 2.9440 2.0893 3.1927
2.0726 2.8989 2.0727 3.1476
2.0559 2.8538 2.0560 3.1026
2.0393 2.8101 2.0393 3.0588
2.0226 2.7671 2.0226 3.0158
2.0060 2.7235 2.0060 2.9722
1.9893 2.6817 1.9893 2.9305
1.9726 2.6397 1.9727 2.8884
1.9560 2.5981 1.9560 2.8469
1.9393 2.5564 1.9393 2.8051
1.9226 2.5154 1.9226 2.7641
1.9060 2.4754 1.9060 2.7242
1.8893 2.4362 1.8893 2.6850
1.8726 2.3977 1.8727 2.6465
1.8560 2.3598 1.8560 2.6086
1.8393 2.3219 1.8394 2.5707
1.8226 2.2847 1.8227 2.5335
1.8060 2.2482 1.8060 2.4970
1.7893 2.2112 1.7894 2.4599
1.7726 2.1749 1.7727 2.4236
1.7560 2.1395 1.7560 2.3882
1.7393 2.1047 1.7394 2.3535
1.7226 2.0694 1.7226 2.3182
1.7059 2.0346 1.7060 2.2833
