"Disp (mm)" "Load (kN)"  "d (raw)" " f (raw)"
1.6732 17.4859  3.23 18.3
1.6810 17.7366  3.24 18.55
1.6888 17.9869  3.24 18.8
1.6964 18.2375  3.25 19.05
1.7039 18.4883  3.26 19.3
1.7110 18.7387  3.27 19.55
1.7180 18.9897  3.27 19.8
1.7248 19.2397  3.28 20.05
1.7316 19.4908  3.29 20.3
1.7382 19.7412  3.29 20.55
1.7445 19.9919  3.3 20.8
1.7507 20.2430  3.31 21.05
1.7567 20.4930  3.31 21.3
1.7627 20.7440  3.32 21.56
1.7686 20.9943  3.32 21.81
1.7744 21.2446  3.33 22.06
1.7802 21.4946  3.34 22.31
1.7859 21.7457  3.34 22.56
1.7915 21.9964  3.35 22.81
1.7970 22.2474  3.35 23.06
1.8024 22.4978  3.36 23.31
1.8079 22.7490  3.36 23.56
1.8132 23.0003  3.37 23.81
1.8185 23.2518  3.37 24.06
1.8238 23.5023  3.38 24.31
1.8291 23.7526  3.38 24.56
1.8343 24.0031  3.39 24.81
1.8394 24.2542  3.4 25.07
1.8446 24.5048  3.4 25.32
1.8496 24.7558  3.41 25.57
1.8545 25.0064  3.41 25.82
1.8594 25.2572  3.42 26.07
1.8644 25.5085  3.42 26.32
1.8693 25.7589  3.43 26.57
1.8742 26.0104  3.43 26.82
1.8790 26.2620  3.43 27.07
1.8838 26.5127  3.44 27.32
1.8886 26.7642  3.44 27.58
1.8932 27.0145  3.45 27.83
1.8979 27.2649  3.45 28.08
1.9026 27.5167  3.46 28.33
1.9073 27.7681  3.46 28.58
1.9119 28.0182  3.47 28.83
1.9165 28.2685  3.47 29.08
1.9211 28.5193  3.48 29.33
1.9257 28.7695  3.48 29.58
1.9302 29.0204  3.49 29.83
1.9347 29.2721  3.49 30.08
1.9393 29.5239  3.5 30.33
1.9437 29.7753  3.5 30.59
1.9482 30.0259  3.5 30.84
1.9526 30.2773  3.51 31.09
1.9571 30.5281  3.51 31.34
1.9616 30.7786  3.52 31.59
1.9660 31.0292  3.52 31.84
1.9703 31.2803  3.53 32.09
1.9746 31.5306  3.53 32.34
1.9790 31.7824  3.53 32.59
1.9834 32.0337  3.54 32.84
1.9878 32.2856  3.54 33.1
1.9921 32.5360  3.55 33.35
1.9964 32.7866  3.55 33.6
2.0008 33.0371  3.56 33.85
2.0051 33.2879  3.56 34.1
2.0094 33.5387  3.57 34.35
2.0136 33.7890  3.57 34.6
2.0180 34.0408  3.57 34.85
2.0222 34.2914  3.58 35.1
2.0265 34.5430  3.58 35.35
2.0308 34.7946  3.59 35.61
2.0350 35.0461  3.59 35.86
2.0393 35.2961  3.6 36.11
2.0436 35.5473  3.6 36.36
2.0479 35.7983  3.6 36.61
2.0522 36.0495  3.61 36.86
2.0565 36.3004  3.61 37.11
2.0608 36.5518  3.62 37.36
2.0650 36.8026  3.62 37.61
2.0693 37.0531  3.63 37.86
2.0735 37.3034  3.63 38.11
2.0777 37.5540  3.63 38.37
2.0819 37.8043  3.64 38.62
2.0862 38.0546  3.64 38.87
2.0903 38.3053  3.65 39.12
2.0944 38.5571  3.65 39.37
2.0986 38.8080  3.65 39.62
2.1028 39.0585  3.66 39.87
2.1070 39.3104  3.66 40.12
2.1111 39.5621  3.67 40.37
2.1153 39.8138  3.67 40.62
2.1194 40.0653  3.68 40.88
2.1236 40.3167  3.68 41.13
2.1278 40.5668  3.68 41.38
2.1319 40.8184  3.69 41.63
2.1361 41.0701  3.69 41.88
2.1404 41.3213  3.7 42.13
2.1447 41.5724  3.7 42.38
2.1491 41.8224  3.7 42.63
2.1534 42.0735  3.71 42.88
2.1578 42.3241  3.71 43.14
2.1620 42.5760  3.72 43.39
2.1662 42.8274  3.72 43.64
2.1704 43.0774  3.73 43.89
2.1746 43.3279  3.73 44.14
2.1789 43.5792  3.73 44.39
2.1833 43.8302  3.74 44.64
2.1876 44.0805  3.74 44.89
2.1894 44.1904  3.75 45
2.1894 44.1924  3.75 45
2.1778 43.9413  3.73 44.75
2.1730 43.6892  3.73 44.5
2.1694 43.4370  3.73 44.25
2.1659 43.1863  3.72 44
2.1626 42.9363  3.72 43.75
2.1595 42.6837  3.72 43.49
2.1566 42.4311  3.71 43.24
2.1537 42.1811  3.71 42.99
2.1508 41.9282  3.71 42.74
2.1478 41.6777  3.7 42.49
2.1448 41.4273  3.7 42.24
2.1418 41.1752  3.7 41.99
2.1387 40.9235  3.69 41.73
2.1356 40.6720  3.69 41.48
2.1326 40.4216  3.69 41.23
2.1296 40.1710  3.69 40.98
2.1265 39.9185  3.68 40.73
2.1234 39.6679  3.68 40.48
2.1203 39.4154  3.68 40.23
2.1171 39.1638  3.67 39.97
2.1139 38.9124  3.67 39.72
2.1108 38.6615  3.67 39.47
2.1076 38.4111  3.66 39.22
2.1044 38.1592  3.66 38.97
2.1012 37.9091  3.66 38.72
2.0979 37.6587  3.65 38.47
2.0945 37.4072  3.65 38.22
2.0912 37.1552  3.65 37.97
2.0879 36.9030  3.64 37.71
2.0846 36.6513  3.64 37.46
2.0813 36.4004  3.64 37.21
2.0779 36.1495  3.63 36.96
2.0745 35.8988  3.63 36.71
2.0712 35.6487  3.63 36.46
2.0678 35.3987  3.62 36.21
2.0644 35.1479  3.62 35.96
2.0609 34.8978  3.62 35.71
2.0574 34.6463  3.61 35.46
2.0539 34.3949  3.61 35.21
2.0504 34.1428  3.61 34.95
2.0469 33.8923  3.6 34.7
2.0434 33.6410  3.6 34.45
2.0398 33.3903  3.6 34.2
2.0363 33.1385  3.59 33.95
2.0328 32.8878  3.59 33.7
2.0292 32.6363  3.59 33.45
2.0256 32.3854  3.58 33.2
2.0220 32.1346  3.58 32.95
2.0184 31.8835  3.57 32.69
2.0147 31.6312  3.57 32.44
2.0111 31.3807  3.57 32.19
2.0074 31.1287  3.56 31.94
2.0037 30.8784  3.56 31.69
2.0000 30.6273  3.56 31.44
1.9962 30.3763  3.55 31.19
1.9924 30.1246  3.55 30.94
1.9887 29.8731  3.54 30.68
1.9849 29.6221  3.54 30.43
1.9811 29.3716  3.54 30.18
1.9772 29.1201  3.53 29.93
1.9732 28.8682  3.53 29.68
1.9694 28.6181  3.53 29.43
1.9654 28.3665  3.52 29.18
1.9615 28.1163  3.52 28.93
1.9574 27.8649  3.51 28.68
1.9533 27.6134  3.51 28.42
1.9494 27.3627  3.51 28.17
1.9454 27.1108  3.5 27.92
1.9414 26.8598  3.5 27.67
1.9373 26.6091  3.49 27.42
1.9332 26.3576  3.49 27.17
1.9291 26.1069  3.48 26.92
1.9250 25.8553  3.48 26.67
1.9208 25.6038  3.48 26.41
1.9165 25.3531  3.47 26.16
1.9122 25.1019  3.47 25.91
1.9080 24.8508  3.46 25.66
1.9038 24.5996  3.46 25.41
1.8995 24.3482  3.46 25.16
1.8951 24.0981  3.45 24.91
1.8907 23.8466  3.45 24.66
1.8863 23.5965  3.44 24.41
1.8818 23.3463  3.44 24.16
1.8772 23.0958  3.43 23.91
1.8726 22.8451  3.43 23.66
1.8679 22.5940  3.42 23.41
1.8632 22.3434  3.42 23.15
1.8584 22.0924  3.41 22.9
1.8535 21.8417  3.41 22.65
1.8486 21.5916  3.4 22.4
1.8436 21.3400  3.4 22.15
1.8384 21.0885  3.39 21.9
1.8332 20.8378  3.39 21.65
1.8278 20.5865  3.38 21.4
1.8224 20.3361  3.38 21.15
1.8170 20.0859  3.37 20.9
1.8114 19.8359  3.37 20.65
1.8058 19.5854  3.36 20.4
1.8000 19.3341  3.36 20.15
1.7939 19.0830  3.35 19.89
1.7877 18.8322  3.34 19.64
1.7812 18.5816  3.34 19.39
1.7746 18.3313  3.33 19.14
1.7679 18.0801  3.32 18.89
1.7610 17.8296  3.32 18.64
1.7539 17.5785  3.31 18.39
1.7467 17.3277  3.3 18.14
1.7392 17.0777  3.3 17.89
1.7315 16.8267  3.29 17.64
1.7238 16.5759  3.28 17.39
1.7158 16.3252  3.27 17.14
1.7076 16.0748  3.26 16.89
1.6991 15.8240  3.25 16.64
1.6902 15.5732  3.25 16.38
1.6813 15.3230  3.24 16.13
1.6720 15.0729  3.23 15.88
1.6628 14.8228  3.22 15.63
1.6531 14.5723  3.21 15.38
1.6434 14.3220  3.2 15.13
1.6334 14.0720  3.19 14.88
1.6235 13.8216  3.18 14.63
1.6133 13.5709  3.17 14.38
1.6028 13.3208  3.16 14.13
1.5920 13.0705  3.15 13.88
1.5806 12.8197  3.14 13.63
1.5674 12.5691  3.12 13.38
1.5531 12.3189  3.11 13.13
1.5386 12.0687  3.09 12.88
1.5240 11.8183  3.08 12.63
1.5088 11.5680  3.06 12.38
1.4934 11.3176  3.05 12.13
1.4778 11.0672  3.03 11.88
1.4618 10.8171  3.02 11.63
1.4456 10.5671  3 11.38
1.4291 10.3167  2.98 11.13
1.4124 10.0696  2.97 10.88
1.3958 9.8270  2.95 10.64
1.3791 9.5920  2.93 10.4
1.3624 9.3631  2.92 10.17
1.3457 9.1396  2.9 9.95
1.3291 8.9249  2.88 9.74
1.3124 8.7092  2.87 9.52
1.2958 8.4961  2.85 9.31
1.2791 8.2842  2.83 9.1
1.2624 8.0744  2.82 8.89
1.2457 7.8731  2.8 8.68
1.2291 7.6809  2.78 8.49
1.2124 7.4908  2.77 8.3
1.1958 7.3152  2.75 8.13
1.1791 7.1539  2.73 7.96
1.1624 6.9915  2.72 7.8
1.1458 6.8338  2.7 7.64
1.1291 6.6761  2.69 7.49
1.1124 6.5192  2.67 7.33
1.0958 6.3633  2.65 7.17
1.0791 6.2064  2.63 7.02
1.0624 6.0538  2.62 6.86
1.0458 5.9032  2.6 6.71
1.0291 5.7521  2.59 6.56
1.0124 5.6045  2.57 6.42
0.9958 5.4563  2.55 6.27
0.9790 5.3078  2.53 6.12
0.9624 5.1641  2.52 5.98
0.9457 5.0167  2.5 5.83
0.9291 4.8732  2.48 5.68
0.9124 4.7296  2.47 5.54
0.8958 4.5863  2.45 5.4
0.8790 4.4449  2.43 5.26
0.8624 4.3083  2.42 5.12
0.8458 4.1715  2.4 4.98
0.8291 4.0425  2.39 4.85
0.8124 3.9124  2.37 4.72
0.7958 3.7828  2.35 4.59
0.7791 3.6573  2.33 4.47
0.7624 3.5319  2.32 4.34
0.7458 3.4080  2.3 4.22
0.7291 3.2865  2.29 4.1
0.7124 3.1656  2.27 3.98
0.6957 3.0478  2.25 3.86
0.6791 2.9315  2.23 3.74
0.6624 2.8160  2.22 3.63
0.6458 2.7045  2.2 3.52
0.6291 2.5932  2.19 3.4
0.6124 2.4822  2.17 3.29
0.5958 2.3751  2.15 3.19
0.5790 2.2684  2.13 3.08
0.5624 2.1676  2.12 2.98
0.5458 2.0690  2.1 2.88
0.5291 1.9722  2.09 2.78
0.5124 1.8781  2.07 2.69
0.4958 1.7850  2.05 2.6
0.4791 1.6933  2.03 2.5
0.4624 1.6053  2.02 2.42
0.4458 1.5219  2 2.33
0.4291 1.4416  1.99 2.25
0.4124 1.3630  1.97 2.17
0.3957 1.2832  1.95 2.09
0.3790 1.2060  1.93 2.02
0.3624 1.1333  1.92 1.94
0.3458 1.0641  1.9 1.88
0.3291 0.9959  1.88 1.81
0.3124 0.9323  1.87 1.74
0.2957 0.8698  1.85 1.68
0.2791 0.8078  1.83 1.62
0.2624 0.7450  1.82 1.56
0.2458 0.6845  1.8 1.5
0.2291 0.6246  1.78 1.44
0.2124 0.5636  1.77 1.37
0.1958 0.5033  1.75 1.31
0.1791 0.4441  1.73 1.26
0.1624 0.3849  1.72 1.2
0.1458 0.3256  1.7 1.14
0.1290 0.2658  1.68 1.08
0.1124 0.2079  1.67 1.02
0.1071 0.1889  1.66 1
0.1071 0.1888  1.66 1
0.1230 0.2019  1.68 1.01
0.1404 0.2629  1.7 1.07
0.1571 0.3295  1.71 1.14
0.1738 0.3959  1.73 1.21
0.1904 0.4626  1.75 1.27
0.2071 0.5282  1.76 1.34
0.2238 0.5940  1.78 1.41
0.2404 0.6599  1.8 1.47
0.2571 0.7259  1.81 1.54
0.2738 0.7921  1.83 1.6
0.2905 0.8578  1.85 1.67
0.3071 0.9247  1.86 1.74
0.3238 0.9937  1.88 1.8
0.3404 1.0653  1.9 1.88
0.3571 1.1395  1.91 1.95
0.3737 1.2156  1.93 2.03
0.3904 1.2977  1.95 2.11
0.4071 1.3816  1.96 2.19
0.4238 1.4668  1.98 2.28
0.4404 1.5519  2 2.36
0.4572 1.6429  2.01 2.45
0.4738 1.7347  2.03 2.55
0.4904 1.8309  2.05 2.64
0.5071 1.9305  2.06 2.74
0.5238 2.0314  2.08 2.84
0.5404 2.1359  2.1 2.95
0.5572 2.2419  2.11 3.05
0.5738 2.3504  2.13 3.16
0.5905 2.4638  2.15 3.27
