   
   
   
"Disp (mm)" "Load (kN)" " d (raw)" "f (raw)"
1.6849 2.8955 1.6849 3.2068
1.7015 2.9412 1.7015 3.2525
1.7182 2.9876 1.7182 3.2989
1.7348 3.0346 1.7348 3.3459
1.7515 3.0817 1.7515 3.3930
1.7682 3.1300 1.7682 3.4413
1.7849 3.1782 1.7849 3.4895
1.8015 3.2252 1.8015 3.5365
1.8182 3.2731 1.8182 3.5844
1.8349 3.3210 1.8349 3.6323
1.8515 3.3690 1.8515 3.6804
1.8682 3.4174 1.8682 3.7288
1.8848 3.4667 1.8848 3.7780
1.9015 3.5153 1.9015 3.8266
1.9182 3.5658 1.9182 3.8771
1.9349 3.6144 1.9349 3.9257
1.9516 3.6639 1.9516 3.9752
1.9682 3.7140 1.9682 4.0253
1.9848 3.7657 1.9848 4.0770
2.0015 3.8172 2.0015 4.1285
2.0182 3.8695 2.0182 4.1808
2.0348 3.9208 2.0348 4.2321
2.0515 3.9755 2.0515 4.2868
2.0682 4.0316 2.0682 4.3429
2.0849 4.0873 2.0849 4.3986
2.1015 4.1444 2.1015 4.4557
2.1182 4.2016 2.1182 4.5129
2.1348 4.2591 2.1348 4.5704
2.1515 4.3172 2.1515 4.6285
2.1682 4.3747 2.1682 4.6860
2.1849 4.4343 2.1849 4.7456
2.2016 4.4921 2.2016 4.8035
2.2182 4.5500 2.2182 4.8613
2.2348 4.6092 2.2348 4.9206
2.2515 4.6676 2.2515 4.9789
2.2576 4.6887 2.2576 5.0000
2.2576 4.6889 2.2576 5.0002
2.2418 4.6457 2.2418 4.9570
2.2245 4.5443 2.2245 4.8556
2.2077 4.4391 2.2077 4.7504
2.1910 4.3388 2.1910 4.6501
2.1743 4.2414 2.1743 4.5527
2.1577 4.1489 2.1577 4.4603
2.1410 4.0572 2.1410 4.3685
2.1243 3.9680 2.1243 4.2793
2.1076 3.8811 2.1076 4.1924
2.0910 3.7964 2.0910 4.1077
2.0743 3.7163 2.0743 4.0276
2.0576 3.6447 2.0576 3.9560
2.0410 3.5739 2.0410 3.8852
2.0243 3.5057 2.0243 3.8170
2.0076 3.4389 2.0076 3.7502
1.9910 3.3743 1.9910 3.6856
